Familia,Modelo,n_folds,F1_epoch_mean,F1_epoch_std,F1_epoch_ci_low,F1_epoch_ci_high,BalancedAccuracy_epoch_mean,BalancedAccuracy_epoch_std,BalancedAccuracy_epoch_ci_low,BalancedAccuracy_epoch_ci_high
DL,cnn_1d,5,0.8009971374663243,0.07324604612620567,0.740072377835331,0.8528532816256738,0.8026750992314687,0.07365508631681694,0.7442706506955465,0.855071438200754
DL,cnn_lstm,5,0.7924087150462296,0.026577083648754884,0.7719200846167209,0.8150198105052281,0.7937521027549717,0.023128257405784735,0.7763620839606957,0.8111165814545334
ML,random_forest,5,0.7872174590621882,0.0577570634622918,0.7415488698438071,0.8328860482805692,0.7824544267824016,0.055837108206810065,0.7381123279561932,0.8267965256086096
ML,xgboost,5,0.7774800068935666,0.06318183307938981,0.7254923744041544,0.8300764764046283,0.7734729412220122,0.059398685776690066,0.725547938100824,0.8202613988479861
ML,rbf_svc,5,0.751977452849082,0.04476068951026379,0.7234417512384234,0.7926063537320855,0.7488686123263504,0.04668502138062552,0.72174560122429,0.7910223395859
ML,knn,5,0.7338332459371955,0.058937448029465565,0.6893165022421797,0.7811363499928803,0.7274996031799554,0.06112532627928368,0.6810397457425034,0.7772032048181642
DL,eegnet,5,0.7003967187288345,0.09482650701762567,0.6164082562424623,0.7658176770866224,0.7253261774071266,0.0815298063045227,0.6556841216050904,0.7843676746322563
ML,logistic_regression,5,0.6878006953601158,0.07790973983011282,0.6276511295168724,0.7510208200388518,0.6865967262470739,0.08385599136683906,0.6245177209576331,0.7538495933785705
