Accuracy_epoch,BalancedAccuracy_epoch,Precision_epoch,Recall_epoch,F1_epoch,TestLoss,BestThreshold,Fold,Modelo
0.7477203647416414,0.7697788605697151,0.811670418109521,0.7477203647416414,0.7425691992976966,0.4482588469982147,0.8,1,eegnet
0.9161094224924012,0.9176911544227886,0.9174641366915505,0.9161094224924012,0.9162960771001138,0.3520454466342926,0.2,1,cnn_1d
0.8261398176291793,0.8261469265367316,0.8275575142743115,0.8261398176291793,0.8264949197589093,0.6074059009552002,0.32000000000000006,1,cnn_lstm
0.6500909642207399,0.6629668408228433,0.6771781665810502,0.6500909642207399,0.6478079127007903,1.3866699934005737,0.4600000000000001,2,eegnet
0.8114008489993936,0.8204282514282991,0.828559353085744,0.8114008489993936,0.8115861918185656,0.6096989512443542,0.35000000000000003,2,cnn_1d
0.7962401455427531,0.8073270700655915,0.8195601428456772,0.7962401455427531,0.7959853438039862,0.7583068609237671,0.49000000000000005,2,cnn_lstm
0.6323440339188371,0.6589696885056412,0.7116336536831723,0.6323440339188371,0.6147656488994377,0.5235968232154846,0.7000000000000002,3,eegnet
0.7159297395517868,0.7229318147376679,0.7295351330629402,0.7159297395517868,0.7163821642266953,0.6886100172996521,0.2,3,cnn_1d
0.7540884312537856,0.7685661988655104,0.7888404638137629,0.7540884312537856,0.7523391367760609,0.6125136613845825,0.54,3,cnn_lstm
0.8467023172905526,0.8473651548844184,0.8485736398537255,0.8467023172905526,0.8471091540914716,0.45851194858551025,0.6600000000000001,4,eegnet
0.7849079025549613,0.7621701056696144,0.803700555128704,0.7849079025549613,0.7757489721500239,0.5737998485565186,0.27,4,cnn_1d
0.8009506833036245,0.7886349140680216,0.8030458382269202,0.8009506833036245,0.7982075505942148,0.5123110413551331,0.6200000000000001,4,cnn_lstm
0.6626287098728043,0.6875503422530146,0.7373145877483832,0.6626287098728043,0.6497316786547761,0.636452853679657,0.53,5,eegnet
0.7843731072077529,0.7901541698989737,0.7944336272644699,0.7843731072077529,0.7849722820362225,0.4623720347881317,0.77,5,cnn_1d
0.7970926711084192,0.7780854042390035,0.8189355229150833,0.7970926711084192,0.7890166242979765,0.6101719737052917,0.76,5,cnn_lstm
