metric,model_a,model_b,n_folds,mean_diff,t_stat,p_value,p_value_bonferroni,significant_bonferroni_5pct
F1_epoch,logistic_regression,rbf_svc,5,-0.06417675748896619,-2.845028619037648,0.04662967376745591,1.0,False
F1_epoch,logistic_regression,knn,5,-0.04603255057707958,-1.0773731460268452,0.3419535540321447,1.0,False
F1_epoch,logistic_regression,random_forest,5,-0.09941676370207235,-3.5098262987657316,0.024675783033483546,0.6909219249375392,False
F1_epoch,logistic_regression,xgboost,5,-0.08967931153345073,-2.5372791614503374,0.06416612269644649,1.0,False
F1_epoch,logistic_regression,eegnet,5,-0.012596023368718633,-0.3552299654898837,0.7403571498522821,1.0,False
F1_epoch,logistic_regression,cnn_1d,5,-0.11319644210620841,-2.2524002294764887,0.08741252967600524,1.0,False
F1_epoch,logistic_regression,cnn_lstm,5,-0.1046080196861137,-2.880880519957454,0.044973255885850466,1.0,False
F1_epoch,rbf_svc,knn,5,0.018144206911886607,0.774790706393114,0.4817148105571209,1.0,False
F1_epoch,rbf_svc,random_forest,5,-0.03524000621310617,-2.1674864975499237,0.09608005841299437,1.0,False
F1_epoch,rbf_svc,xgboost,5,-0.025502554044484538,-0.9948118771504095,0.3761341393750158,1.0,False
F1_epoch,rbf_svc,eegnet,5,0.05158073412024755,1.3490054829058538,0.24864292621191597,1.0,False
F1_epoch,rbf_svc,cnn_1d,5,-0.049019684617242223,-1.319632144414187,0.25741867482978725,1.0,False
F1_epoch,rbf_svc,cnn_lstm,5,-0.04043126219714752,-1.7603822616123854,0.15314847221938027,1.0,False
F1_epoch,knn,random_forest,5,-0.05338421312499277,-3.216995121826488,0.03237282292444451,0.9064390418844462,False
F1_epoch,knn,xgboost,5,-0.04364676095637114,-2.1262242780995417,0.10063447471133168,1.0,False
F1_epoch,knn,eegnet,5,0.03343652720836095,0.8759584980339324,0.43050489204467757,1.0,False
F1_epoch,knn,cnn_1d,5,-0.06716389152912883,-2.077807351154619,0.1062863535617134,1.0,False
F1_epoch,knn,cnn_lstm,5,-0.05857546910903413,-2.3456895849678037,0.0788860339232124,1.0,False
